timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-09-09T00:00:00.000Z";"2024-09-09T23:59:59.999Z";"2024-09-09T00:20:00.000Z";"2024-09-09T05:46:00.000Z";"2781";0.9991736735;0.9999793261;0.9978548978;0.9986949305;31492062.55;494954758.16;"2024-09-09T23:59:59.999Z"
"2024-09-08T00:00:00.000Z";"2024-09-08T23:59:59.999Z";"2024-09-08T22:17:00.000Z";"2024-09-08T00:50:00.000Z";"2781";0.9983180287;0.9999370872;0.9978148221;0.9991736735;28562191.57;495192023.9;"2024-09-08T23:59:59.999Z"
"2024-09-07T00:00:00.000Z";"2024-09-07T23:59:59.999Z";"2024-09-07T21:21:00.000Z";"2024-09-07T08:25:00.000Z";"2781";0.9983575547;0.9990210614;0.9977663589;0.9983180287;86444206.53;494767965.02;"2024-09-07T23:59:59.999Z"
"2024-09-06T00:00:00.000Z";"2024-09-06T23:59:59.999Z";"2024-09-06T14:19:00.000Z";"2024-09-06T17:37:00.000Z";"2781";0.9982617642;0.9998646218;0.9970838511;0.9983575547;42476755.86;494787554.18;"2024-09-06T23:59:59.999Z"
"2024-09-05T00:00:00.000Z";"2024-09-05T23:59:59.999Z";"2024-09-05T17:13:00.000Z";"2024-09-05T21:36:00.000Z";"2781";0.9985157767;0.9998375968;0.9977711114;0.9982617642;30837677.26;494740080.25;"2024-09-05T23:59:59.999Z"
"2024-09-04T00:00:00.000Z";"2024-09-04T23:59:59.999Z";"2024-09-04T14:01:00.000Z";"2024-09-04T13:49:00.000Z";"2781";0.9984859039;0.9998431888;0.9977172117;0.9985157767;31254679.23;494865969.25;"2024-09-04T23:59:59.999Z"
"2024-09-03T00:00:00.000Z";"2024-09-03T23:59:59.999Z";"2024-09-03T01:13:00.000Z";"2024-09-03T16:56:00.000Z";"2781";0.9987486951;0.9996574652;0.9978555288;0.9984859039;29416972.24;494851164.25;"2024-09-03T23:59:59.999Z"
"2024-09-02T00:00:00.000Z";"2024-09-02T23:59:59.999Z";"2024-09-02T17:31:00.000Z";"2024-09-02T05:59:00.000Z";"2781";0.9988690939;1.0005366352;0.9981513586;0.9987486951;33620721.07;494981403.98;"2024-09-02T23:59:59.999Z"
"2024-09-01T00:00:00.000Z";"2024-09-01T23:59:59.999Z";"2024-09-01T13:52:00.000Z";"2024-09-01T22:40:00.000Z";"2781";0.9989819266;1.0001589534;0.9980059875;0.9988690939;32172609.39;495041073.8;"2024-09-01T23:59:59.999Z"
"2024-08-31T00:00:00.000Z";"2024-08-31T23:59:59.999Z";"2024-08-31T10:17:00.000Z";"2024-08-31T00:55:00.000Z";"2781";0.999003146;0.9998995486;0.9986685251;0.9989819266;27163781.72;495096993.86;"2024-08-31T23:59:59.999Z"
"2024-08-30T00:00:00.000Z";"2024-08-30T23:59:59.999Z";"2024-08-30T14:46:00.000Z";"2024-08-30T15:05:00.000Z";"2781";0.9995110144;1.0007908197;0.9984567963;0.999003146;39355999.62;495107510.2;"2024-08-30T23:59:59.999Z"
"2024-08-29T00:00:00.000Z";"2024-08-29T23:59:59.999Z";"2024-08-29T16:09:00.000Z";"2024-08-29T16:28:00.000Z";"2781";0.9996551411;1.0006895627;0.9988647751;0.9995110144;38448767.38;495359210.58;"2024-08-29T23:59:59.999Z"
"2024-08-28T00:00:00.000Z";"2024-08-28T23:59:59.999Z";"2024-08-28T08:28:00.000Z";"2024-08-28T00:45:00.000Z";"2781";0.9998271867;1.0007984698;0.9988499672;0.9996551411;42247453.74;495430640.03;"2024-08-28T23:59:59.999Z"
"2024-08-27T00:00:00.000Z";"2024-08-27T23:59:59.999Z";"2024-08-27T12:49:00.000Z";"2024-08-27T22:18:00.000Z";"2781";0.9999373037;1.0015869084;0.9987605617;0.9998271867;42477652.36;495515906.07;"2024-08-27T23:59:59.999Z"
"2024-08-26T00:00:00.000Z";"2024-08-26T23:59:59.999Z";"2024-08-26T15:27:00.000Z";"2024-08-26T20:19:00.000Z";"2781";1.0006004376;1.0012664914;0.9994714913;0.9999373037;35461472.58;495570480.23;"2024-08-26T23:59:59.999Z"
"2024-08-25T00:00:00.000Z";"2024-08-25T23:59:59.999Z";"2024-08-25T22:58:00.000Z";"2024-08-25T11:42:00.000Z";"2781";1.0004311814;1.0017861274;0.9995465084;1.0006004376;33958901.53;495899130.42;"2024-08-25T23:59:59.999Z"
"2024-08-24T00:00:00.000Z";"2024-08-24T23:59:59.999Z";"2024-08-24T12:10:00.000Z";"2024-08-24T19:57:00.000Z";"2781";1.001006351;1.0019690144;0.9999985599;1.0004311814;34621169.78;495815246.79;"2024-08-24T23:59:59.999Z"
"2024-08-23T00:00:00.000Z";"2024-08-23T23:59:59.999Z";"2024-08-23T23:01:00.000Z";"2024-08-23T11:10:00.000Z";"2781";0.9998462887;1.0023425434;0.9992049335;1.001006351;40333177.21;496100301.73;"2024-08-23T23:59:59.999Z"
"2024-08-22T00:00:00.000Z";"2024-08-22T23:59:59.999Z";"2024-08-22T13:34:00.000Z";"2024-08-22T11:06:00.000Z";"2781";0.9999882173;1.000802369;0.9991227652;0.9998462887;33015844.24;495525373.05;"2024-08-22T23:59:59.999Z"
"2024-08-21T00:00:00.000Z";"2024-08-21T23:59:59.999Z";"2024-08-21T20:04:00.000Z";"2024-08-21T13:58:00.000Z";"2781";0.9996251933;1.000541869;0.9987705257;0.9999882173;36798527.87;495595713.08;"2024-08-21T23:59:59.999Z"
"2024-08-20T00:00:00.000Z";"2024-08-20T23:59:59.999Z";"2024-08-20T05:20:00.000Z";"2024-08-20T15:38:00.000Z";"2781";0.9993787455;1.0007217103;0.9987298681;0.9996251933;38704369.09;495415797.83;"2024-08-20T23:59:59.999Z"
"2024-08-19T00:00:00.000Z";"2024-08-19T23:59:59.999Z";"2024-08-19T13:11:00.000Z";"2024-08-19T16:01:00.000Z";"2781";0.9991841784;1.0004876816;0.9985544371;0.9993787455;31881265.38;495293657.91;"2024-08-19T23:59:59.999Z"
"2024-08-18T00:00:00.000Z";"2024-08-18T23:59:59.999Z";"2024-08-18T02:52:00.000Z";"2024-08-18T23:56:00.000Z";"2781";0.9993809002;1.0003525109;0.9987565225;0.9991841784;31708776.39;495197230.16;"2024-08-18T23:59:59.999Z"
"2024-08-17T00:00:00.000Z";"2024-08-17T23:59:59.999Z";"2024-08-17T03:07:00.000Z";"2024-08-17T15:23:00.000Z";"2781";0.9997194834;1.0000892132;0.9984819856;0.9993809002;31276654.86;495294725.81;"2024-08-17T23:59:59.999Z"
"2024-08-16T00:00:00.000Z";"2024-08-16T23:59:59.999Z";"2024-08-16T18:19:00.000Z";"2024-08-16T16:06:00.000Z";"2781";0.9991513371;1.0010286459;0.9986559363;0.9997194834;35352409.12;495462528.13;"2024-08-16T23:59:59.999Z"
"2024-08-15T00:00:00.000Z";"2024-08-15T23:59:59.999Z";"2024-08-15T21:03:00.000Z";"2024-08-15T18:35:00.000Z";"2781";0.9991930518;1.0003385264;0.9981897314;0.9991513371;36725450.3;495180953.95;"2024-08-15T23:59:59.999Z"
"2024-08-14T00:00:00.000Z";"2024-08-14T23:59:59.999Z";"2024-08-14T00:34:00.000Z";"2024-08-14T18:35:00.000Z";"2781";0.9997887301;1.0008921227;0.9987824274;0.9991930518;35055927.41;495201627.82;"2024-08-14T23:59:59.999Z"
"2024-08-13T00:00:00.000Z";"2024-08-13T23:59:59.999Z";"2024-08-13T17:28:00.000Z";"2024-08-13T04:04:00.000Z";"2781";0.9992472659;1.00082292;0.9987664906;0.9997887301;35898417.97;495496846.91;"2024-08-13T23:59:59.999Z"
"2024-08-12T00:00:00.000Z";"2024-08-12T23:59:59.999Z";"2024-08-12T11:05:00.000Z";"2024-08-12T07:24:00.000Z";"2781";0.9988018159;1.0008562885;0.9982362582;0.9992472659;35055790.61;495228496.4;"2024-08-12T23:59:59.999Z"
"2024-08-11T00:00:00.000Z";"2024-08-11T23:59:59.999Z";"2024-08-11T14:37:00.000Z";"2024-08-11T23:02:00.000Z";"2781";0.9993362315;1.0009578747;0.9985524066;0.9988018159;30088346.65;495007730.73;"2024-08-11T23:59:59.999Z"
"2024-08-10T00:00:00.000Z";"2024-08-10T23:59:59.999Z";"2024-08-10T00:28:00.000Z";"2024-08-10T22:08:00.000Z";"2781";0.9997083368;1.0009396689;0.9988153906;0.9993352488;30755537.79;495272587.91;"2024-08-10T23:59:59.999Z"
"2024-08-09T00:00:00.000Z";"2024-08-09T23:59:59.999Z";"2024-08-09T16:28:00.000Z";"2024-08-09T14:28:00.000Z";"2781";0.9994265385;1.0005340218;0.9985692446;0.9997083368;34866279.43;495457003.86;"2024-08-09T23:59:59.999Z"
"2024-08-08T00:00:00.000Z";"2024-08-08T23:59:59.999Z";"2024-08-08T01:47:00.000Z";"2024-08-08T23:07:00.000Z";"2781";0.9993989213;1.0009940582;0.9984267804;0.9994265385;43964021.7;495317344.22;"2024-08-08T23:59:59.999Z"
"2024-08-07T00:00:00.000Z";"2024-08-07T23:59:59.999Z";"2024-08-07T00:52:00.000Z";"2024-08-07T16:32:00.000Z";"2781";0.9993794429;1.0009183639;0.9983931788;0.9993989213;36528579.01;511893659.17;"2024-08-07T23:59:59.999Z"
"2024-08-06T00:00:00.000Z";"2024-08-06T23:59:59.999Z";"2024-08-06T01:54:00.000Z";"2024-08-06T14:34:00.000Z";"2781";0.9993965564;1.0011828454;0.998567754;0.9993841174;39735457.86;494896546.61;"2024-08-06T23:59:59.999Z"
"2024-08-05T00:00:00.000Z";"2024-08-05T23:59:59.999Z";"2024-08-05T07:20:00.000Z";"2024-08-05T02:28:00.000Z";"2781";0.9984842278;1.0012897154;0.9974645579;0.9993965564;128357305.99;494902706.42;"2024-08-05T23:59:59.999Z"
"2024-08-04T00:00:00.000Z";"2024-08-04T23:59:59.999Z";"2024-08-04T22:09:00.000Z";"2024-08-04T17:52:00.000Z";"2781";0.9987836735;0.9997259184;0.9977656575;0.9984842278;37081747.82;494450919.89;"2024-08-04T23:59:59.999Z"
"2024-08-03T00:00:00.000Z";"2024-08-03T23:59:59.999Z";"2024-08-03T15:40:00.000Z";"2024-08-03T00:31:00.000Z";"2781";0.9984646927;1.0000421967;0.9973843753;0.9987836735;38092408.66;494599205.89;"2024-08-03T23:59:59.999Z"
"2024-08-02T00:00:00.000Z";"2024-08-02T23:59:59.999Z";"2024-08-02T23:28:00.000Z";"2024-08-02T23:10:00.000Z";"2781";0.9987029006;1.0002353363;0.997249541;0.9984646927;42017513.75;494441246.08;"2024-08-02T23:59:59.999Z"
"2024-08-01T00:00:00.000Z";"2024-08-01T23:59:59.999Z";"2024-08-01T00:52:00.000Z";"2024-08-01T20:49:00.000Z";"2781";0.9993437872;1.0001663225;0.9976940938;0.9987029006;42134673.16;494559206.98;"2024-08-01T23:59:59.999Z"
"2024-07-31T00:00:00.000Z";"2024-07-31T23:59:59.999Z";"2024-07-31T02:37:00.000Z";"2024-07-31T20:07:00.000Z";"2781";0.9997913411;1.000609254;0.9987412176;0.9993437872;37155512.55;494876575.03;"2024-07-31T23:59:59.999Z"
"2024-07-30T00:00:00.000Z";"2024-07-30T23:59:59.999Z";"2024-07-30T21:32:00.000Z";"2024-07-30T17:56:00.000Z";"2781";0.9999596474;1.0007567274;0.9991678812;0.9997913411;36616255.34;495098204.39;"2024-07-30T23:59:59.999Z"
"2024-07-29T00:00:00.000Z";"2024-07-29T23:59:59.999Z";"2024-07-29T02:20:00.000Z";"2024-07-29T17:39:00.000Z";"2781";1.000071673;1.0013602584;0.9994295811;0.9999596474;46773107.81;495181549.96;"2024-07-29T23:59:59.999Z"
"2024-07-28T00:00:00.000Z";"2024-07-28T23:59:59.999Z";"2024-07-28T08:29:00.000Z";"2024-07-28T20:07:00.000Z";"2781";1.0002221779;1.0008939823;0.9996038654;1.000071673;35163702.11;495237025.19;"2024-07-28T23:59:59.999Z"
"2024-07-27T00:00:00.000Z";"2024-07-27T23:59:59.999Z";"2024-07-27T20:13:00.000Z";"2024-07-27T20:51:00.000Z";"2781";1.0005637812;1.0012248509;0.9996747896;1.0002221779;54080950.41;495311555.44;"2024-07-27T23:59:59.999Z"
"2024-07-26T00:00:00.000Z";"2024-07-26T23:59:59.999Z";"2024-07-26T14:28:00.000Z";"2024-07-26T01:46:00.000Z";"2781";1.0002326298;1.0016037862;0.9997143586;1.0005637812;41144010.88;495480717.92;"2024-07-26T23:59:59.999Z"
"2024-07-25T00:00:00.000Z";"2024-07-25T23:59:59.999Z";"2024-07-25T14:04:00.000Z";"2024-07-25T19:41:00.000Z";"2781";1.0006388531;1.001841122;0.9995171191;1.0002326298;45450297.78;495316731.26;"2024-07-25T23:59:59.999Z"
